source,target,tgt_lng
"Generalized Lagrangian","广义拉格朗日","zh"
"Generalized Linear Model","广义线性模型","zh"
"Generalized Pseudolikelihood","广义伪似然","zh"
"Generalized Pseudolikelihood Estimator","广义伪似然估计","zh"
"Generalized Rayleigh Quotient","广义瑞利商","zh"
"Generalized Score Matching","广义得分匹配","zh"
"Generative Adversarial Framework","生成式对抗框架","zh"
"Generative Adversarial Network","生成对抗网络","zh"
"Generative Approach","生成方法","zh"
"Generative Model","生成式模型","zh"
"Generative Modeling","生成式建模","zh"
"Generative Moment Matching Network","生成矩匹配网络","zh"
"Generative Pre-Training","生成式预训练","zh"
"Generative Stochastic Network","生成随机网络","zh"
"Generative Weight","生成权重","zh"
"Generator","生成器","zh"
"Generator Network","生成器网络","zh"
"Genetic Algorithm","遗传算法","zh"
"Geometric Margin","几何间隔","zh"
"Giant Magnetoresistance","巨磁阻","zh"
"Gibbs Distribution","吉布斯分布","zh"
"Gibbs Sampling","吉布斯采样","zh"
"Gibbs Steps","吉布斯步数","zh"
"Gini Index","基尼指数","zh"
"Global Contrast Normalization","全局对比度规范化","zh"
"Global Markov Property","全局马尔可夫性","zh"
"Global Minima","全局极小值","zh"
"Global Minimizer","全局极小解","zh"
"Global Minimum","全局最小","zh"
"Global Optimization","全局优化","zh"
"Gradient","梯度","zh"
"Gradient Ascent","梯度上升","zh"
"Gradient Ascent Method","梯度上升法","zh"
"Gradient Boosting","梯度提升","zh"
"Gradient Boosting Tree","梯度提升树","zh"
"Gradient Clipping","梯度截断","zh"
"Gradient Descent","梯度下降","zh"
"Gradient Descent In One-Dimensional Space","一维梯度下降","zh"
"Gradient Descent Method","梯度下降法","zh"
"Gradient Energy Distribution","梯度能量分布","zh"
"Gradient Estimation","梯度估计","zh"
"Gradient Exploding Problem","梯度爆炸问题","zh"
"Gradient Field","梯度场","zh"
"Gradual Warmup","逐渐预热","zh"
"Gram Matrix","Gram 矩阵","zh"
"Graph","图","zh"
"Graph Analytics","图分析","zh"
"Graph Attention Network","图注意力网络","zh"
"Graph Convolutional Network","图卷积神经网络","zh"
"Graph Neural Network","图神经网络","zh"
"Graph Theory","图论","zh"
"Graphical Model","图模型","zh"
"Graphics Processing Unit","图形处理器","zh"
"Greedy","贪心","zh"
"Greedy Algorithm","贪心算法","zh"
"Greedy Layer-Wise Pretraining","贪心逐层预训练","zh"
"Greedy Layer-Wise Training","贪心逐层训练","zh"
"Greedy Layer-Wise Unsupervised Pretraining","贪心逐层无监督预训练","zh"
"Greedy Search","贪心搜索","zh"
"Greedy Supervised Pretraining","贪心监督预训练","zh"
"Greedy Unsupervised Pretraining","贪心无监督预训练","zh"
"Grid Search","网格搜索","zh"
"Grid World","网格世界","zh"
"Ground Truth","真实值","zh"
"Growth Function","增长函数","zh"
"Hadamard Product","Hadamard积","zh"
"Hamming Distance","汉明距离","zh"
"Hard Attention","硬性注意力","zh"
"Hard Clustering","硬聚类","zh"
"Hard Margin","硬间隔","zh"
"Hard Margin Maximization","硬间隔最大化","zh"
"Hard Mixture Of Experts","硬专家混合体","zh"
"Hard Tanh","硬双曲正切函数","zh"
"Hard Target","硬目标","zh"
"Hard Voting","硬投票","zh"
"Harmonic Mean","调和平均","zh"
"Harmonium","簧风琴","zh"
"Harmony","Harmony","zh"
"Harris Chain","哈里斯链","zh"
"Hausdorff Distance","豪斯多夫距离","zh"
"Hebbian Rule","赫布法则","zh"
"Hebbian Theory","赫布理论","zh"
"Helmholtz Machine","Helmholtz机","zh"
"Hesse Matrix","海赛矩阵","zh"
"Hessian","Hessian","zh"
"Hessian Matrix","黑塞矩阵","zh"
"Heterogeneous Information Network","异质信息网络","zh"
"Heteroscedastic","异方差","zh"
"Hidden Dynamic Model","隐动态模型","zh"
"Hidden Layer","隐藏层","zh"
"Hidden Markov Model","隐马尔可夫模型","zh"
"Hidden State","隐状态","zh"
"Hidden Unit","隐藏单元","zh"
"Hidden Variable","隐变量","zh"
"Hierarchical Clustering","层次聚类","zh"
"Hierarchical Reinforcement Learning","分层强化学习","zh"
"Hierarchical Softmax","层序Softmax","zh"
"Hilbert Space","希尔伯特空间","zh"
"Hill Climbing","爬山","zh"
"Hinge Loss Function","合页损失函数","zh"
"Histogram Method","直方图方法","zh"
"Hold-Out","留出法","zh"
"Homogeneous","同质","zh"
"Hopfield Network","Hopfield网络","zh"
"Huffman Coding","霍夫曼编码","zh"
"Hybrid Computing","混合计算","zh"
"Hyperbolic Tangent Function","双曲正切函数","zh"
"Hyperparameter","超参数","zh"
"Hyperparameter Optimization","超参数优化","zh"
"Hyperplane","超平面","zh"
"Hypothesis","假设","zh"
"Hypothesis Space","假设空间","zh"
"Hypothesis Test","假设检验","zh"
"I.I.D. Assumption","独立同分布假设","zh"
"Identically Distributed","同分布的","zh"
"Identifiable","可辨认的","zh"
"Identity Function","恒等函数","zh"
"Identity Mapping","恒等映射","zh"
"Identity Matrix","单位矩阵","zh"
"Ill Conditioning","病态","zh"
"Ill-Formed Problem","病态问题","zh"
"Image","图像","zh"
"Image Restoration","图像还原","zh"
"Imitation Learning","模仿学习","zh"
"Immorality","不道德","zh"
"Imperfect Information","不完美信息","zh"
"Implicit Density Model","隐式密度模型","zh"
"Import","导入","zh"
"Importance Sampling","重要性采样","zh"
"Improved Iterative Scaling","改进的迭代尺度法","zh"
"Incomplete-Data","不完全数据","zh"
"Incremental Learning","增量学习","zh"
"Indefinite Integral","不定积分","zh"
"Independence","独立","zh"
"Independent","相互独立的","zh"
"Independent and Identically Distributed","独立同分布","zh"
"Independent Component Analysis","独立成分分析","zh"
"Independent Subspace Analysis","独立子空间分析","zh"
"Index of Matrix","索引","zh"
"Indicator Function","指示函数","zh"
"Individual Learner","个体学习器","zh"
"Induction","归纳","zh"
"Inductive Bias","归纳偏好","zh"
"Inductive Learning","归纳学习","zh"
"Inductive Logic Programming","归纳逻辑程序设计","zh"
"Inductive Transfer Learning","归纳迁移学习","zh"
"Inequality Constraint","不等式约束","zh"
"Inference","推断","zh"
"Infinite","无限","zh"
"Infinitely Exchangeable","无限可交换","zh"
"Information Divergence","信息散度","zh"
"Information Entropy","信息熵","zh"
"Information Gain","信息增益","zh"
"Information Gain Ratio","信息增益比","zh"
"Information Retrieval","信息检索","zh"
"Information Theory","信息论","zh"
"Inner Product","内积","zh"
"Input","输入","zh"
"Input Distribution","输入分布","zh"
"Input Gate","输入门","zh"
"Input Layer","输入层","zh"
"Input Space","输入空间","zh"
"Insensitive Loss","不敏感损失","zh"
"Instance","示例","zh"
"Instance Segmentation","实例分割","zh"
"Integer Linear Programming","整数线性规划","zh"
"Integer Programming","整数规划","zh"
"Integration","积分","zh"
"Inter-Cluster Similarity","簇间相似度","zh"
"Internal Covariate Shift","内部协变量偏移","zh"
"Internal Node","内部结点","zh"
"International Conference For Machine Learning","国际机器学习大会","zh"
"Intervention Query","干预查询","zh"
"Intra-Attention","内部注意力","zh"
"Intra-Cluster Similarity","簇内相似度","zh"
"Intrinsic Value","固有值","zh"
"Invariance","不变性","zh"
"Invariant","不变","zh"
"Inverse Matrix","逆矩阵","zh"
"Inverse Reinforcement Learning","逆强化学习","zh"
"Inverse Resolution","逆归结","zh"
"Inverse Time Decay","逆时衰减","zh"
"Invert","求逆","zh"
"Irreducible","不可约的","zh"
"Irrelevant Feature","无关特征","zh"
"Isometric Mapping","等度量映射","zh"
"Isotonic Regression","等分回归","zh"
"Isotropic","各向同性","zh"
"Isotropic Gaussian Distribution","各向同性高斯分布","zh"
"Iteration","迭代","zh"
"Iterative Dichotomiser","迭代二分器","zh"
"Jacobian","雅克比","zh"
"Jacobian Matrix","雅可比矩阵","zh"
"Jensen Inequality","Jensen不等式","zh"
"Jensen-Shannon Divergence","JS散度","zh"
"Joint Probability Density Function","联合概率密度函数","zh"
"Joint Probability Distribution","联合概率分布","zh"
"Junction Tree Algorithm","联合树算法","zh"
"K-Armed Bandit Problem","k-摇臂老虎机","zh"
"K-Fold Cross Validation","k 折交叉验证","zh"
"K-Means Clustering","k-均值聚类","zh"
"K-Nearest Neighbor Classifier","k-近邻分类器","zh"
"K-Nearest Neighbor Method","k-近邻","zh"
"Karush-Kuhn-Tucker Condition","KKT条件","zh"
"Karush–Kuhn–Tucker","Karush–Kuhn–Tucker","zh"
"Kd Tree","Kd 树","zh"
"Kernel Density Estimation","核密度估计","zh"
"Kernel Function","核函数","zh"
"Kernel Machine","核机器","zh"
"Kernel Matrix","核矩阵","zh"
"Kernel Method","核方法","zh"
"Kernel Regression","核回归","zh"
"Kernel Trick","核技巧","zh"
"Kernelized","核化","zh"
"Kernelized Linear Discriminant Analysis","核线性判别分析","zh"
"Kernelized PCA","核主成分分析","zh"
"Key-Value Store","键-值数据库","zh"
"KL Divergence","KL散度","zh"
"Knowledge","知识","zh"
"Knowledge Base","知识库","zh"
"Knowledge Distillation","知识蒸馏","zh"
"Knowledge Engineering","知识工程","zh"
"Knowledge Graph","知识图谱","zh"
"Knowledge Representation","知识表征","zh"
"Kronecker Product","Kronecker积","zh"
"Krylov Method","Krylov方法","zh"
"L-BFGS","L-BFGS","zh"
"Label","标签","zh"
"Label Propagation","标记传播","zh"
"Label Smoothing","标签平滑","zh"
"Label Space","标记空间","zh"
"Labeled","标注","zh"
"Lagrange Dual Problem","拉格朗日对偶问题","zh"
"Lagrange Duality","拉格朗日对偶性","zh"
"Lagrange Function","拉格朗日函数","zh"
"Lagrange Multiplier","拉格朗日乘子","zh"
"Language Model","语言模型","zh"
"Language Modeling","语言模型化","zh"
"Laplace Distribution","Laplace分布","zh"
"Laplace Smoothing","拉普拉斯平滑","zh"
"Laplacian Correction","拉普拉斯修正","zh"
"Large Learning Step","大学习步骤","zh"
"Las Vegas Method","拉斯维加斯方法","zh"
"Latent","潜在","zh"
"Latent Dirichlet Allocation","潜在狄利克雷分配","zh"
"Latent Layer","潜层","zh"
"Latent Semantic Analysis","潜在语义分析","zh"
"Latent Semantic Indexing","潜在语义索引","zh"
"Latent Variable","潜变量","zh"
"Law of Large Numbers","大数定律","zh"
"Layer","层","zh"
"Layer Normalization","层规范化","zh"
"Layer-Wise","逐层的","zh"
"Layer-Wise Adaptive Rate Scaling","逐层适应率缩放","zh"
"Layer-Wise Normalization","逐层规范化","zh"
"Layer-Wise Pretraining","逐层预训练","zh"
"Layer-Wise Training","逐层训练","zh"
"Lazy Learning","懒惰学习","zh"
"Leaf Node","叶结点","zh"
"Leaky Lelu Function","泄漏线性整流函数","zh"
"Leaky Relu","泄漏修正线性单元","zh"
"Leaky Unit","渗漏单元","zh"
"Learned","学成","zh"
"Learned Approximate Inference","学习近似推断","zh"
"Learner","学习器","zh"
"Learning","学习","zh"
"Learning Algorithm","学习算法","zh"
"Learning By Analogy","类比学习","zh"
"Learning Rate","学习率","zh"
"Learning Rate Annealing","学习率退火","zh"
"Learning Rate Decay","学习率衰减","zh"
"Learning Rate Warmup","学习率预热","zh"
"Learning To Learn","学习的学习","zh"
"Learning Vector Quantization","学习向量量化","zh"
"Least General Generalization","最小一般泛化","zh"
"Least Mean Squares","最小均方","zh"
"Least Square Method","最小二乘法","zh"
"Least Squares Regression Tree","最小二乘回归树","zh"
"Leave-One-Out Cross Validation","留一交叉验证","zh"
"Leave-One-Out","留一法","zh"
"Lebesgue-Integrable","勒贝格可积","zh"
"Left Eigenvector","左特征向量","zh"
"Left Singular Vector","左奇异向量","zh"
"Leibniz's Rule","莱布尼兹法则","zh"
"Lifelong Learning","终身学习","zh"
"Likelihood","似然","zh"
"Line Search","线搜索","zh"
"Linear Auto-Regressive Network","线性自回归网络","zh"
"Linear Chain","线性链","zh"
"Linear Chain Conditional Random Field","线性链条件随机场","zh"
"Linear Classification Model","线性分类模型","zh"
"Linear Classifier","线性分类器","zh"
"Linear Combination","线性组合","zh"
"Linear Dependence","线性相关","zh"
"Linear Discriminant Analysis","线性判别分析","zh"
"Linear Factor Model","线性因子模型","zh"
"Linear Mapping","线性映射","zh"
"Linear Model","线性模型","zh"
"Linear Programming","线性规划","zh"
"Linear Regression","线性回归","zh"
"Linear Scaling Rule","线性缩放规则","zh"
"Linear Scan","线性扫描","zh"
"Linear Space","线性空间","zh"
"Linear Support Vector Machine","线性支持向量机","zh"
"Linear Support Vector Machine In Linearly Separable Case","线性可分支持向量机","zh"
"Linear Threshold Units","线性阈值单元","zh"
"Linear Transformation","线性变换","zh"
"Linearly Independent","线性无关","zh"
"Linearly Separable","线性可分","zh"
"Linearly Separable Data Set","线性可分数据集","zh"
"Link Analysis","链接分析","zh"
"Link Function","联系函数","zh"
"Link Prediction","链接预测","zh"
"Link Table","连接表","zh"
"Linkage","连接","zh"
"Linked Importance Sampling","链接重要采样","zh"
"Lipschitz","Lipschitz","zh"
"Lipschitz Constant","Lipschitz常数","zh"
"Lipschitz Continuous","Lipschitz连续","zh"
"Liquid State Machine","流体状态机","zh"
"Local Conditional Probability Distribution","局部条件概率分布","zh"
"Local Constancy Prior","局部不变性先验","zh"
"Local Contrast Normalization","局部对比度规范化","zh"
"Local Curvature","局部曲率","zh"
"Local Descent","局部下降","zh"
"Local Invariances","局部不变性","zh"
"Local Kernel","局部核","zh"
"Local Markov Property","局部马尔可夫性","zh"
"Local Maxima","局部极大值","zh"
"Local Maximum","局部极大点","zh"
"Local Minima","局部极小","zh"
"Local Minimizer","局部最小解","zh"
"Local Minimum","局部极小","zh"
"Local Representation","局部式表示","zh"
"Local Response Normalization","局部响应规范化","zh"
"Locally Linear Embedding","局部线性嵌入","zh"
"Log Likelihood","对数似然函数","zh"
"Log Linear Model","对数线性模型","zh"
"Log-Likelihood","对数似然","zh"
"Log-Likelihood Loss Function","对数似然损失函数","zh"
"Log-Linear Regression","对数线性回归","zh"
"Logarithmic Loss Function","对数损失函数","zh"
"Logarithmic Scale","对数尺度","zh"
"Logistic Distribution","对数几率分布","zh"
"Logistic Function","对数几率函数","zh"
"Logistic Loss","对率损失","zh"
"Logistic Regression","对数几率回归","zh"
"Logistic Sigmoid","对数几率Sigmoid","zh"
"Logit","对数几率","zh"
"Long Short Term Memory","长短期记忆","zh"
"Long Short-Term Memory Network","长短期记忆网络","zh"
"Long-Term Dependencies Problem","长程依赖问题","zh"
"Long-Term Dependency","长期依赖","zh"
"Long-Term Memory","长期记忆","zh"
"Loop","环","zh"
"Loopy Belief Propagation","环状信念传播","zh"
"Loss","损失","zh"
"Loss Function","损失函数","zh"
"Low Rank Matrix Approximation","低秩矩阵近似","zh"
"Lp Distance","Lp距离","zh"
"Machine Learning Model","机器学习模型","zh"
"Machine Learning","机器学习","zh"
"Machine Translation","机器翻译","zh"
"Macro Average","宏平均","zh"
"Macro-F1","宏F1","zh"
"Macro-P","宏查准率","zh"
"Macron-R","宏查全率","zh"
"Mahalanobis Distance","马哈拉诺比斯距离","zh"
"Main Diagonal","主对角线","zh"
"Majority Voting","绝对多数投票","zh"
"Majority Voting Rule","多数表决规则","zh"
"Manhattan Distance","曼哈顿距离","zh"
"Manifold","流形","zh"
"Manifold Assumption","流形假设","zh"
"Manifold Learning","流形学习","zh"
"Manifold Tangent Classifier","流形正切分类器","zh"
"Margin","间隔","zh"
"Margin Theory","间隔理论","zh"
"Marginal Distribution","边缘分布","zh"
"Marginal Independence","边缘独立性","zh"
"Marginal Likelihood","边缘似然函数","zh"
"Marginal Probability Distribution","边缘概率分布","zh"
"Marginalization","边缘化","zh"
"Markov Blanket","马尔可夫毯","zh"
"Markov Chain","马尔可夫链","zh"
"Markov Chain Monte Carlo","马尔可夫链蒙特卡罗","zh"
"Markov Decision Process","马尔可夫决策过程","zh"
"Markov Network","马尔可夫网络","zh"
"Markov Process","马尔可夫过程","zh"
"Markov Property","马尔可夫性质","zh"
"Markov Random Field","马尔可夫随机场","zh"
"Mask","掩码","zh"
"Mask Language Modeling","掩码语言模型化","zh"
"Masked Self-Attention","掩蔽自注意力","zh"
"Mathematical Optimization","数学优化","zh"
"Matrix","矩阵","zh"
"Matrix Calculus","矩阵微积分","zh"
"Matrix Completion","矩阵补全","zh"
"Matrix Decomposition","矩阵分解","zh"
"Matrix Inversion","逆矩阵","zh"
"Matrix Product","矩阵乘积","zh"
"Max Norm","最大范数","zh"
"Max Pooling","最大汇聚","zh"
"Maxima","极大值","zh"
"Maximal Clique","最大团","zh"
"Maximization","极大","zh"
"Maximization Step","M步","zh"
"Maximization-Maximization Algorithm","极大-极大算法","zh"
"Maximum A Posteriori","最大后验","zh"
"Maximum A Posteriori Estimation","最大后验估计","zh"
"Maximum Entropy Model","最大熵模型","zh"
"Maximum Likelihood","极大似然","zh"
"Maximum Likelihood Estimation","极大似然估计","zh"
"Maximum Likelihood Method","极大似然法","zh"
"Maximum Margin","最大间隔","zh"
"Maximum Mean Discrepancy","最大平均偏差","zh"
"Maximum Posterior Probability Estimation","最大后验概率估计","zh"
"Maximum Weighted Spanning Tree","最大带权生成树","zh"
"Maxout","Maxout","zh"
"Maxout Unit","Maxout单元","zh"
"Mean","均值","zh"
"Mean Absolute Error","平均绝对误差","zh"
"Mean And Covariance RBM","均值和协方差RBM","zh"
"Mean Filed","平均场","zh"
"Mean Filter","均值滤波","zh"
"Mean Pooling","平均汇聚","zh"
"Mean Product of Student t-Distribution","学生 t 分布均值乘积","zh"
"Mean Squared Error","均方误差","zh"
"Mean-Covariance Restricted Boltzmann Machine","均值-协方差受限玻尔兹曼机","zh"
"Mean-Field","平均场","zh"
"Meanfield","均匀场","zh"
"Measure Theory","测度论","zh"
"Measure Zero","零测度","zh"
"Median","中位数","zh"
"Memory","记忆","zh"
"Memory Augmented Neural Network","记忆增强神经网络","zh"
"Memory Capacity","记忆容量","zh"
"Memory Cell","记忆元","zh"
"Memory Network","记忆网络","zh"
"Memory Segment","记忆片段","zh"
"Mercer Kernel","Mercer 核","zh"
"Message","消息","zh"
"Message Passing","消息传递","zh"
"Message Passing Neural Network","消息传递神经网络","zh"
"Meta-Learner","元学习器","zh"
"Meta-Learning","元学习","zh"
"Meta-Optimization","元优化","zh"
"Meta-Rule","元规则","zh"
"Metric","指标","zh"
"Metric Learning","度量学习","zh"
"Micro Average","微平均","zh"
"Micro-F1","微F1","zh"
"Micro-P","微査准率","zh"
"Micro-R","微查全率","zh"
"Min-Max Normalization","最小最大值规范化","zh"
"Mini-Batch Gradient","小批量梯度","zh"
"Mini-Batch Gradient Descent","小批量梯度下降法","zh"
"Mini-Batch SGD","小批次随机梯度下降","zh"
"Minibatch","小批量","zh"
"Minibatch Stochastic","小批量随机","zh"
"Minima","极小值","zh"
"Minimal Description Length","最小描述长度","zh"
"Minimax Game","极小极大博弈","zh"
"Minimum","极小点","zh"
"Minkowski Distance","闵可夫斯基距离","zh"
"Misclassification Cost","误分类代价","zh"
"Mixing","混合","zh"
"Mixing Time","混合时间","zh"
"Mixture Density Network","混合密度网络","zh"
"Mixture Distribution","混合分布","zh"
"Mixture of Experts","混合专家模型","zh"
"Mixture-of-Gaussian","高斯混合","zh"
"Modality","模态","zh"
"Mode","峰值","zh"
"Model","模型","zh"
"Model Averaging","模型平均","zh"
"Model Collapse","模型坍塌","zh"
"Model Complexity","模型复杂度","zh"
"Model Compression","模型压缩","zh"
"Model Identifiability","模型可辨识性","zh"
"Model Parallelism","模型并行","zh"
"Model Parameter","模型参数","zh"
"Model Predictive Control","模型预测控制","zh"
"Model Selection","模型选择","zh"
"Model-Agnostic Meta-Learning","模型无关的元学习","zh"
"Model-Based Learning","有模型学习","zh"
"Model-Based Reinforcement Learning","基于模型的强化学习","zh"
"Model-Free Learning","免模型学习","zh"
"Model-Free Reinforcement Learning","模型无关的强化学习","zh"
"Moment","矩","zh"
"Moment Matching","矩匹配","zh"
"Momentum","动量","zh"
"Momentum Method","动量法","zh"
"Monte Carlo","蒙特卡罗","zh"
"Monte Carlo Estimate","蒙特卡罗估计","zh"
"Monte Carlo Integration","蒙特卡罗积分","zh"
"Monte Carlo Method","蒙特卡罗方法","zh"
"Moore's Law","摩尔定律","zh"
"Moore-Penrose Pseudoinverse","Moore-Penrose 伪逆","zh"
"Moral Graph","端正图","zh"
"Moralization","道德化","zh"
"Most General Unifier","最一般合一置换","zh"
"Moving Average","移动平均","zh"
"Multi-Armed Bandit Problem","多臂赌博机问题","zh"
"Multi-Class Classification","多分类","zh"
"Multi-Classifier System","多分类器系统","zh"
"Multi-Document Summarization","多文档摘要","zh"
"Multi-Head Attention","多头注意力","zh"
"Multi-Head Self-Attention","多头自注意力","zh"
"Multi-Hop","多跳","zh"
"Multi-Kernel Learning","多核学习","zh"
"Multi-Label Classification","多标签分类","zh"
"Multi-Label Learning","多标记学习","zh"
"Multi-Layer Feedforward Neural Networks","多层前馈神经网络","zh"
"Multi-Layer Perceptron","多层感知机","zh"
"Multi-Nominal Logistic Regression Model","多项对数几率回归模型","zh"
"Multi-Prediction Deep Boltzmann Machine","多预测深度玻尔兹曼机","zh"
"Multi-Response Linear Regression","多响应线性回归","zh"
"Multi-View Learning","多视图学习","zh"
"Multicollinearity","多重共线性","zh"
"Multimodal","多峰值","zh"
"Multimodal Learning","多模态学习","zh"
"Multinomial Distribution","多项分布","zh"
"Multinoulli Distribution","Multinoulli分布","zh"
"Multinoulli Output Distribution","Multinoulli输出分布","zh"
"Multiple Dimensional Scaling","多维缩放","zh"
"Multiple Linear Regression","多元线性回归","zh"
"Multitask Learning","多任务学习","zh"
"Multivariate Decision Tree","多变量决策树","zh"
"Multivariate Gaussian Distribution","多元高斯分布","zh"
"Multivariate Normal Distribution","多元正态分布","zh"
"Mutual Information","互信息","zh"
"N-Gram","N元","zh"
"N-Gram Feature","N元特征","zh"
"N-Gram Model","N元模型","zh"
"Naive Bayes Algorithm","朴素贝叶斯算法","zh"
"Naive Bayes Classifier","朴素贝叶斯分类器","zh"
"Naive Bayes","朴素贝叶斯","zh"
"Named Entity Recognition","命名实体识别","zh"
"Narrow Convolution","窄卷积","zh"
"Nash Equilibrium","纳什均衡","zh"
"Nash Reversion","纳什回归","zh"
"Nats","奈特","zh"
"Natural Exponential Decay","自然指数衰减","zh"
"Natural Language Generation","自然语言生成","zh"
"Natural Language Processing","自然语言处理","zh"
"Nearest Neighbor","最近邻","zh"
"Nearest Neighbor Classifier","最近邻分类器","zh"
"Nearest Neighbor Graph","最近邻图","zh"
"Nearest Neighbor Regression","最近邻回归","zh"
"Nearest-Neighbor Search","最近邻搜索","zh"
"Negative Class","负类","zh"
"Negative Correlation","负相关法","zh"
"Negative Definite","负定","zh"
"Negative Log Likelihood","负对数似然函数","zh"
"Negative Part Function","负部函数","zh"
"Negative Phase","负相","zh"
"Negative Sample","负例","zh"
"Negative Sampling","负采样","zh"
"Negative Semidefinite","半负定","zh"
"Neighbourhood Component Analysis","近邻成分分析","zh"
"Nesterov Accelerated Gradient","Nesterov加速梯度","zh"
"Nesterov Momentum","Nesterov动量法","zh"
"Net Activation","净活性值","zh"
"Net Input","净输入","zh"
"Network","网络","zh"
"Network Capacity","网络容量","zh"
"Neural Architecture Search","神经架构搜索","zh"
"Neural Auto-Regressive Density Estimator","神经自回归密度估计器","zh"
"Neural Auto-Regressive Network","神经自回归网络","zh"
"Neural Language Model","神经语言模型","zh"
"Neural Machine Translation","神经机器翻译","zh"
"Neural Model","神经模型","zh"
"Neural Network","神经网络","zh"
"Neural Turing Machine","神经图灵机","zh"
"Neurodynamics","神经动力学","zh"
"Neuromorphic Computing","神经形态计算","zh"
"Neuron","神经元","zh"
"Newton Method","牛顿法","zh"
"No Free Lunch Theorem","没有免费午餐定理","zh"
"Node","结点","zh"
"Noise","噪声","zh"
"Noise Distribution","噪声分布","zh"
"Noise-Contrastive Estimation","噪声对比估计","zh"
"Nominal Attribute","列名属性","zh"
"Non-Autoregressive Process","非自回归过程","zh"
"Non-Convex Optimization","非凸优化","zh"
"Non-Informative Prior","无信息先验","zh"
"Non-Linear Model","非线性模型","zh"
"Non-Linear Oscillation","非线性振荡","zh"
"Non-Linear Support Vector Machine","非线性支持向量机","zh"
"Non-Metric Distance","非度量距离","zh"
"Non-Negative Matrix Factorization","非负矩阵分解","zh"
"Non-Ordinal Attribute","无序属性","zh"
"Non-Parametric","非参数","zh"
"Non-Parametric Model","非参数化模型","zh"
"Non-Probabilistic Model","非概率模型","zh"
"Non-Saturating Game","非饱和博弈","zh"
"Non-Separable","不可分","zh"
"Nonconvex","非凸","zh"
"Nondistributed","非分布式","zh"
"Nondistributed Representation","非分布式表示","zh"
"Nonlinear Autoregressive With Exogenous Inputs Model","有外部输入的非线性自回归模型","zh"
"Nonlinear Conjugate Gradients","非线性共轭梯度","zh"
"Nonlinear Independent Components Estimation","非线性独立成分估计","zh"
"Nonlinear Programming","非线性规划","zh"
"Nonparametric Density Estimation","非参数密度估计","zh"
"Norm","范数","zh"
"Norm-Preserving","范数保持性","zh"
"Normal Distribution","正态分布","zh"
"Normal Equation","正规方程","zh"
"Normalization","规范化","zh"
"Normalization Factor","规范化因子","zh"
"Normalized","规范化的","zh"
"Normalized Initialization","标准初始化","zh"
"Nuclear Norm","核范数","zh"
"Null Space","零空间","zh"
"Number of Epochs","轮数","zh"
"Numerator Layout","分子布局","zh"
"Numeric Value","数值","zh"
"Numerical Attribute","数值属性","zh"
"Numerical Differentiation","数值微分","zh"
"Numerical Method","数值方法","zh"
"Numerical Optimization","数值优化","zh"
"Object Detection","目标检测","zh"
"Object Recognition","对象识别","zh"
"Objective","目标","zh"
"Objective Function","目标函数","zh"
"Oblique Decision Tree","斜决策树","zh"
"Observable Variable","观测变量","zh"
"Observation Sequence","观测序列","zh"
"Occam's Razor","奥卡姆剃刀","zh"
"Odds","几率","zh"
"Off-Policy","异策略","zh"
"Offline Inference","离线推断","zh"
"Offset","偏移量","zh"
"Offset Vector","偏移向量","zh"
"On-Policy","同策略","zh"
"One-Shot Learning","单试学习","zh"
"One-Dependent Estimator","独依赖估计","zh"
"One-Hot","独热","zh"
"Online","在线","zh"
"Online Inference","在线推断","zh"
"Online Learning","在线学习","zh"
"Operation","操作","zh"
"Operator","运算符","zh"
"Optimal Capacity","最佳容量","zh"
"Optimization","最优化","zh"
"Optimization Landscape","优化地形","zh"
"Optimizer","优化器","zh"
"Ordered Rule","带序规则","zh"
"Ordinal Attribute","有序属性","zh"
"Origin","原点","zh"
"Orthogonal","正交","zh"
"Orthogonal Initialization","正交初始化","zh"
"Orthogonal Matrix","正交矩阵","zh"
"Orthonormal","标准正交","zh"
"Out-Of-Bag Estimate","包外估计","zh"
"Outer Product","外积","zh"
"Outlier","异常点","zh"
"Output","输出","zh"
"Output Gate","输出门","zh"
"Output Layer","输出层","zh"
"Output Smearing","输出调制法","zh"
"Output Space","输出空间","zh"
"Over-Parameterized","过度参数化","zh"
"Overcomplete","过完备","zh"
"Overestimation","过估计","zh"
"Overfitting","过拟合","zh"
"Overfitting Regime","过拟合机制","zh"
"Overflow","上溢","zh"
"Oversampling","过采样","zh"
"PAC Learning","PAC学习","zh"
"Pac-Learnable","PAC可学习","zh"
"Padding","填充","zh"
"Paired t -Test","成对 t 检验","zh"
"Pairwise","成对型","zh"
"Pairwise Markov Property","成对马尔可夫性","zh"
"Parallel Distributed Processing","分布式并行处理","zh"
"Parallel Tempering","并行回火","zh"
"Parameter","参数","zh"
"Parameter Estimation","参数估计","zh"
"Parameter Server","参数服务器","zh"
"Parameter Sharing","参数共享","zh"
"Parameter Space","参数空间","zh"
"Parameter Tuning","调参","zh"
"Parametric Case","有参情况","zh"
"Parametric Density Estimation","参数密度估计","zh"
"Parametric Model","参数化模型","zh"
"Parametric ReLU","参数化修正线性单元","zh"
"Parse Tree","解析树","zh"
"Part-Of-Speech Tagging","词性标注","zh"
"Partial Derivative","偏导数","zh"
"Partially Observable Markov Decision Processes","部分可观测马尔可夫决策过程","zh"
